address,name,kind,confidence,description
0x4017,adc_sample_group_a,routine,confirmed,Read ADC result group and seed RAM input channels.
0x4034,adc_sample_group_b,routine,confirmed,Read alternate ADC result group and seed RAM input channels.
0x4155,adc_filter_helper_4155,routine,strong,ADC preprocessing helper used by the 0x200D path.
0x41A1,build_load_axis_2034,routine,confirmed,Build normalized load/MAP-like axis in RAM 0x2034.
0x41D6,build_transient_axis_2042,routine,confirmed,Build normalized transient/helper axis in RAM 0x2042.
0x431A,preprocess_cts_path,routine,strong,Preprocess temperature channel used by the CTS-like axis path.
0x4340,convert_cts_axis,routine,confirmed,Use calibration 0x92CF through the axis helper to produce 0x203C/0x203E.
0x436A,preprocess_iat_path,routine,strong,Preprocess temperature channel used by the IAT-like axis path.
0x4390,convert_iat_axis,routine,confirmed,Use calibration 0x92D9 through the axis helper to produce 0x2038/0x203A.
0x48EE,lookup_base_spark,routine,confirmed,"Select RPM-only or 24x9 spark bank, interpolate, add optional signed offset, accumulate in 0x2147."
0x4943,apply_spark_temperature_correction,routine,strong,Apply signed temperature/load spark correction to the base spark result.
0x4F10,hardware_io_service_init,routine,strong,Initialize extended I/O/service hardware state and related RAM flags.
0x4FE1,hardware_io_service_state_machine,routine,strong,Timed I/O/service state machine using countdown/state at 0x246B and pointer/state data.
0x506A,hardware_io_scan_group_506a,routine,strong,Scan extended I/O status registers and mirror individual bits into RAM flags.
0x50F4,hardware_io_scan_group_50f4,routine,strong,"Extended I/O bit scan/update routine; contains byte 0x5100 as an instruction operand, not a table."
0x515C,hardware_io_scan_group_515c,routine,strong,Extended I/O bit scan/update routine.
0x51CC,hardware_io_scan_group_51cc,routine,strong,Extended I/O bit scan/update routine.
0x51FB,hardware_io_scan_group_51fb,routine,strong,Extended I/O bit scan/update routine; spans 0x5200 as executable instruction bytes.
0x5224,hardware_io_scan_group_5224,routine,strong,Extended I/O bit scan/update routine.
0x5243,hardware_io_scan_group_5243,routine,strong,Extended I/O bit scan/update routine.
