address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,description,evidence,aliases,generated
0x0094,0x0094,reset_fault_cause,ram,variable,1,8,,,,fault,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x0099,0x0099,runtime_fault_flags,ram,variable,1,8,,,,fault,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x009C,0x009C,scheduler_status_flags,ram,variable,1,8,,,,scheduler,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00A2,0x00A2,spark_mode_flags,ram,variable,1,8,,,,ignition,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00A4,0x00A4,limiter_mode_flags,ram,variable,1,8,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00A9,0x00A9,operating_mode_flags,ram,variable,1,8,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00B8,0x00B9,previous_capture_or_schedule_base,ram,u16be,2,16,,,,unknown,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BA,0x00BB,engine_period_delta,ram,u16be,2,16,,,,speed-rpm,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BC,0x00BD,fuel_output_duration,ram,u16be,2,16,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BE,0x00BE,fuel_event_phase,ram,variable,1,8,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00BF,0x00BF,fuel_event_width_limit,ram,variable,1,8,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00C1,0x00C2,base_fuel_pulse_accumulator,ram,u16be,2,16,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00C3,0x00C4,final_fuel_duration,ram,u16be,2,16,,,,fuel,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00CC,0x00CD,filtered_o2_or_lambda_word,ram,u16,2,16,,,,closed-loop,strong,Filtered analog word feeding shared axis 0x2040; physical O2/lambda identity remains hardware-provisional.,decoded producer/consumer instruction flow,,false
0x00CE,0x00CF,load_aircharge_word,ram,u16be,2,16,,,,air-load,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00D0,0x00D0,load_aircharge_byte,ram,variable,1,8,,,,air-load,working,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00D3,0x00D3,inverse_period_rpm_byte,ram,u8,1,8,,,,speed-rpm,strong,Reduced inverse-period RPM-like value derived by 0x4292.,decoded producer/consumer instruction flow,,false
